id,name,surname,login,age,city
1,Molly,Gutierrez,Molly_Gutierrez###MRL,32,Burnaby
2,Stephen,Hardwick,Stephen_Hardwick###TBL,40,Courtenay
3,Chester,Delgado,Chester_Delgado###NEM,48,Richmond
4,Irene,Simon,Irene_Simon###KHA,44,Victoria
5,Edward,Delvalle,Edward_Delvalle###PLW,35,New Westminster
6,Ernie,Jones,Ernie_Jones###CXJ,48,Richmond
7,Ralph,Buford,Ralph_Buford###NTK,50,Vancouver
8,Gregory,Lee,Gregory_Lee###CTK,36,Sechelt
9,Jerry,Smith,Jerry_Smith###WYT,58,New Westminster
10,Robert,Beard,Robert_Beard###RJL,39,Vancouver
11,John,Mathis,John_Mathis###XJI,46,New Westminster
12,John,Barajas,John_Barajas###XWU,15,Kamloops
13,James,Leonard,James_Leonard###TYE,37,North Vancouver
14,Janet,Davis,Janet_Davis###QJI,30,Vananda
15,Thomas,Bell,Thomas_Bell###JWC,49,Vancouver
16,Danny,Combs,Danny_Combs###KPI,42,Vancouver
17,Anne,Vivanco,Anne_Vivanco###VGI,48,Vancouver
18,Bobbie,Craig,Bobbie_Craig###NYJ,41,West Vancouver
19,Ilona,Jones,Ilona_Jones###GUS,51,New Westminster
20,Jan,Watkins,Jan_Watkins###UFE,36,Vancouver
21,Jesus,Callaway,Jesus_Callaway###DCI,57,Burnaby
22,Josephine,Hammett,Josephine_Hammett###FOF,24,New Westminster
23,Sandra,Jarman,Sandra_Jarman###XMN,49,Vancouver
24,Jennifer,Butler,Jennifer_Butler###XYQ,60,Victoria
25,Larry,Simons,Larry_Simons###ROI,35,Nanaimo
26,Penny,Mason,Penny_Mason###MSB,35,Aldergrove
27,Theodore,Burton,Theodore_Burton###JYC,41,Kelowna
28,Joseph,Hunt,Joseph_Hunt###LXG,35,Trail
29,Thomas,Loiselle,Thomas_Loiselle###GUY,40,Vancouver
30,William,Nguyen,William_Nguyen###EWH,49,Aldergrove
31,James,Schrupp,James_Schrupp###RLL,38,Penticton
32,Adriana,Donaldson,Adriana_Donaldson###HVU,42,Vancouver
33,Felipe,Thompson,Felipe_Thompson###OKF,49,Duncan
34,Lester,Livingston,Lester_Livingston###JDT,77,Kelowna
